Honorific,First name,Last name,Gender,Office type,Address - incomeplete,City,Province,Address -postcode,Office email,Email,Telephone,Fax,Toll-free,TTY,Riding name,Party,,formatted_address,,latitude,longitude,coordinates,google_place_id,type,postcode,input_string,number_of_results,status,,distane to ON parl.
,Belinda,Karahalios,Female ,Constituency office,"Suite 101

498 Eagle St. N
",Cambridge,ON,N3H 1C2,bkarahalios-co@ola.org,bkarahalios@ola.org,519-650-2770 ,519-650-3918 ,,,Cambridge,Independent,58,"Cambridge, ON N3H 1C2, Canada",,43.4011273,-80.36108,"43.4011273,-80.36108",ChIJN33sQvOJK4gR88Goe5YQ1rA,postal_code,N3H 1C2,N3H 1C2,1,OK,,97.104
,Bhutila,Karpoche,Female ,Constituency office,"2849 Dundas St. W
",Toronto,ON,M6P 1Y6,BKarpoche-CO@ndp.on.ca,BKarpoche-QP@ndp.on.ca,416-763-5630 ,416-763-5640  ,,,Parkdale—High Park,New Democratic Party of Ontario,59,"Toronto, ON M6P 1Y6, Canada",,43.665201,-79.4635328,"43.665201,-79.4635328",ChIJMSkZDSI0K4gRaxDJXv6bXiQ,postal_code,M6P 1Y6,M6P 1Y6,1,OK,,7.396
,Vincent,Ke,Male ,Constituency office,"Suite 103
2175 Sheppard Ave. E
",North York,ON,M2J 1W8,vincent.keco@pc.ola.org,vincent.ke@pc.ola.org,416-494-8778  ,416-494-0110  ,,,Don Valley North,Progressive Conservative Party of Ontario,60,"North York, ON M2J 1W8, Canada",,43.774299,-79.3300086,"43.774299,-79.3300086",ChIJgb36cFnS1IkRGcDfXTZcVH0,postal_code,M2J 1W8,M2J 1W8,1,OK,,18.542
,Terence,Kernaghan,Male ,Constituency office,"Unit 105
400 York St.
",London,ON,N6B 3N2,TKernaghan-CO@ndp.on.ca,TKernaghan-QP@ndp.on.ca,519-432-7339,519-432-0613  ,,,London North Centre,New Democratic Party of Ontario,61,"London, ON N6B 3N2, Canada",,42.9844534,-81.2382012,"42.9844534,-81.23820119999999",ChIJ39kX1Q_yLogRUFB34rHY9KU,postal_code,N6B 3N2,N6B 3N2,1,OK,,191.902
,Andrea,Khanjin,Female ,Constituency office,"Unit 1
237 Mapleview Dr. E
",Barrie,ON,L4N 0W5,andrea.khanjinco@pc.ola.org,andrea.khanjin@pc.ola.org,705-722-0575  ,705-722-8835,,,Barrie—Innisfil,Progressive Conservative Party of Ontario,62,"Barrie, ON L4N 0W5, Canada",,44.3394869,-79.6638933,"44.3394869,-79.6638933",ChIJDflQomS8KogRQjnvSjRRL8c,postal_code,L4N 0W5,L4N 0W5,1,OK,,89.161
,Daryl,Kramp,Male ,Constituency office,"26A St. Lawrence St. W
P.O. Box 70
",Madoc,ON,K0K 2K0,,daryl.kramp@pc.ola.org,343-600-3310,343-600-3329  ,855-229-6676  ,,Hastings—Lennox and Addington,Progressive Conservative Party of Ontario,63,"Madoc, ON K0K 2K0, Canada",,44.7175773,-77.4338702,"44.71757729999999,-77.4338702",ChIJz88ye6I700wRA9KkYefyEAI,postal_code,K0K 2K0,K0K 2K0,1,OK,,231.627
,Daryl,Kramp,Male ,Constituency office,"8 Dundas St. W
",Napanee,ON,K7R 1Z4,,daryl.kramp@pc.ola.org,613-308-9625  ,613-308-9685  ,,,Hastings—Lennox and Addington,Progressive Conservative Party of Ontario,64,"Napanee, ON K7R 1Z4, Canada",,44.2466873,-76.9511632,"44.2466873,-76.9511632",ChIJyeZFkpzY14kRFW8Z6qj9cMI,postal_code,K7R 1Z4,K7R 1Z4,1,OK,,221.676
,Natalia,Kusendova,Female ,Constituency office,"Unit 708
10 Kingsbridge Garden Circle
",Mississauga,ON,L5R 3K7,,natalia.kusendova@pc.ola.org,905-890-1901,,,,Mississauga Centre,Progressive Conservative Party of Ontario,65,"Mississauga, ON L5R 3K7, Canada",,43.6033253,-79.6489825,"43.60332529999999,-79.6489825",ChIJl3p8uzRHK4gRruP_rKY22lY,postal_code,L5R 3K7,L5R 3K7,1,OK,,29.652
Hon.,Stephen,Lecce,Male ,Constituency office,"Unit 1
2220 King Rd.
",King City,ON,L7B 1L3,,stephen.lecce@pc.ola.org,647-560-9700  ,647-560-9701 ,,,King—Vaughan,Progressive Conservative Party of Ontario,66,"King City, ON L7B 1L3, Canada",,43.9297312,-79.5269724,"43.9297312,-79.52697239999999",ChIJyVzeeMXXKogR07nqIh-4Uco,postal_code,L7B 1L3,L7B 1L3,1,OK,,43.176
,Laura Mae,Lindo,Female ,Constituency office,"Suite 212
25 Frederick St.
",Kitchener,ON,N2H 6M8,,LLindo-QP@ndp.on.ca,519-579-5460  ,519-579-2121  ,,,Kitchener Centre,New Democratic Party of Ontario,67,"Kitchener, ON N2H 6M8, Canada",,43.4496458,-80.4869641,"43.4496458,-80.4869641",ChIJZTJSnu30K4gRVp1AbcaJG9M,postal_code,N2H 6M8,N2H 6M8,1,OK,,108.116
Hon.,Lisa,MacLeod,Female ,Constituency office,"Unit 222/3
250B Greenbank Rd.
",Nepean,ON,K2H 8X4,Lisa.macleodco@pc.ola.org,,613-823-2116 ,613-823-8284 ,,,Nepean,Progressive Conservative Party of Ontario,68,"Nepean, ON K2H 8X4, Canada",,45.3242643,-75.7798651,"45.3242643,-75.7798651",ChIJV5ZRpFsHzkwR3MaBQKkDY0o,postal_code,K2H 8X4,K2H 8X4,1,OK,,434.257
,Sol,Mamakwa,Male ,Constituency office,"Unit 104
73 King St.
P.O. Box 176
",Sioux Lookout,ON,P8T 1A1,SMamakwa-CO@ndp.on.ca,SMamakwa-QP@ndp.on.ca,807-737-2210 ,807-737-1592,1-888-444-1723,,Kiiwetinoong,New Democratic Party of Ontario,69,"Sioux Lookout, ON P8T 1A1, Canada",,50.0976744,-91.9185249,"50.0976744,-91.9185249",ChIJBajqOrybmFIRTL8_ZU2aK8Q,postal_code,P8T 1A1,P8T 1A1,1,OK,,1751.472
,Michael,Mantha,Male ,Constituency office,"14 George Walk
",Elliot Lake,ON,P5A 2A4,mmantha-co@ndp.on.ca,mmantha-qp@ndp.on.ca,705-461-9710 ,705-461-9720,1-800-831-1899   ,,Algoma—Manitoulin,New Democratic Party of Ontario,70,"Elliot Lake, ON P5A 2A4, Canada",,46.3858291,-82.6472552,"46.3858291,-82.64725519999999",ChIJU4hkXkUOMU0RVx2l-iXGHKI,postal_code,P5A 2A4,P5A 2A4,1,OK,,538.626
,Robin,Martin,Female ,Constituency office,"2882 Dufferin St.
",Toronto,ON,M6B 3S6,robin.martinco@pc.ola.org,robin.martin@pc.ola.org, 416-781-2395  ,416-781-4116  ,,,Eglinton—Lawrence,Progressive Conservative Party of Ontario,71,"North York, ON M6B 3S6, Canada",,43.7075638,-79.4536878,"43.7075638,-79.4536878",ChIJVXP__MMzK4gRIF4aHn6uo8c,postal_code,M6B 3S6,M6B 3S6,1,OK,,9.846
,Gila,Martow,Female ,Constituency office,"Centre Street Square
Unit 4
1136 Centre St.
",Thornhill,ON,L4J 3M8,gila.martowco@pc.ola.org,gila.martow@pc.ola.org,905-731-8462,905-731-2984 ,,,Thornhill,Progressive Conservative Party of Ontario,72,"Thornhill, ON L4J 3M8, Canada",,43.8090179,-79.4608958,"43.8090179,-79.4608958",ChIJP_AcQCUsK4gRzdkPG74jMZc,postal_code,L4J 3M8,L4J 3M8,1,OK,,20.847
,Jim,McDonell,Male ,Constituency office,"Time Square
120 Second St. W
",Cornwall,ON,K6J 1G5,jim.mcdonellco@pc.ola.org,jim.mcdonell@pc.ola.org,613-933-6513,613-933-6449   ,,,Stormont—Dundas—South Glengarry,Progressive Conservative Party of Ontario,73,"Cornwall, ON K6J 1G5, Canada",,45.0168215,-74.7317206,"45.0168215,-74.7317206",ChIJ0zNzIk4XzEwRoXg8rxiMzrg,postal_code,K6J 1G5,K6J 1G5,1,OK,,434.399
,Jane,McKenna,Female ,Constituency office,"Unit 104
472 Brock Ave.
",Burlington,ON,L7S 1N1,,jane.mckenna@pc.ola.org,905-639-7924,905-639-3284 ,,,Burlington,Progressive Conservative Party of Ontario,74,"Burlington, ON L7S 1N1, Canada",,43.3214745,-79.8035834,"43.3214745,-79.8035834",ChIJlQhAJTyeLIgRjksFprJbLqs,postal_code,L7S 1N1,L7S 1N1,1,OK,,60.672
Hon.,Monte,McNaughton,Male ,Constituency office,"360 James St.
",Wallaceburg,ON,N8A 2N5,,, 519-627-1015   , 519-627-7174 ,,,Lambton—Kent—Middlesex,Progressive Conservative Party of Ontario,75,"Wallaceburg, ON N8A 2N5, Canada",,42.5946352,-82.3832408,"42.5946352,-82.3832408",ChIJNX2q2EtdJYgRGLvr327gPag,postal_code,N8A 2N5,N8A 2N5,1,OK,,309.399
Hon.,Monte,McNaughton,Male ,Constituency office,"81 Front St. W
",Strathroy,ON,N7G 1X6,monte.mcnaughtonco@pc.ola.org,,519-245-8696,519-245-8697 ,,,Lambton—Kent—Middlesex,Progressive Conservative Party of Ontario,76,"Strathroy, ON N7G 1X6, Canada",,42.9579859,-81.625942,"42.9579859,-81.625942",ChIJoz0ThD0EL4gR_2VwRtpkrfQ,postal_code,N7G 1X6,N7G 1X6,1,OK,,228.082
,Norman,Miller,Male ,Constituency office,"26 James St.
",Parry Sound,ON,P2A 1T5,,norm.miller@pc.ola.org,705-746-4266  ,705-746-1578   ,1-888-701-1176 ,,Parry Sound—Muskoka,Progressive Conservative Party of Ontario,77,"Parry Sound, ON P2A 1T5, Canada",,45.3446231,-80.0341747,"45.3446231,-80.0341747",ChIJ8xTEmpK6K00RYMkmlhWAxUw,postal_code,P2A 1T5,P2A 1T5,1,OK,,226.285
,Norman,Miller,Male ,Constituency office,"Unit 1
165 Manitoba St.
",Bracebridge,ON,P1L 1S3,,norm.miller@pc.ola.org,705-645-8538,705-645-8148 ,1-888-267-4826   ,,Parry Sound—Muskoka,Progressive Conservative Party of Ontario,78,"Bracebridge, ON P1L 1S3, Canada",,45.0441401,-79.3158688,"45.0441401,-79.31586879999999",ChIJtcfZ1_SGKk0ROctZjKZKHA8,postal_code,P1L 1S3,P1L 1S3,1,OK,,184.737
,Paul,Miller,Male ,Constituency office,"289 Queenston Rd.
",Hamilton,ON,L8K 1H2,pmiller-co@ndp.on.ca,pmiller-qp@ndp.on.ca,905-545-0114,905-545-9024   ,,,Hamilton East—Stoney Creek,New Democratic Party of Ontario,79,"Hamilton, ON L8K 1H2, Canada",,43.234323,-79.7914108,"43.234323,-79.7914108",ChIJdbO8WxmZLIgR-vohIP7J6o8,postal_code,L8K 1H2,L8K 1H2,1,OK,,70.947
,Christina,Mitas,Female ,Constituency office,"2063 Lawrence Ave. E
",Scarborough,ON,M1R 2Z4,christina.mitasco@pc.ola.org,christina.mitas@pc.ola.org,416-615-2183,416-615-2011,,,Scarborough Centre,Progressive Conservative Party of Ontario,80,"Scarborough, ON M1R 2Z4, Canada",,43.7457269,-79.2921506,"43.7457269,-79.29215060000001",ChIJ7fgmfQDS1IkRJ4tq_TT-Tes,postal_code,M1R 2Z4,M1R 2Z4,1,OK,,16.386
,Judith,Monteith-Farrell,Female ,Constituency office,"409 George St.
",Thunder Bay,ON,P7E 5Y9,JMonteith-Farrell-CO@ndp.on.ca,JMonteith-Farrell-QP@ndp.on.ca,807-622-1920,807-622-3263 ,1-833-673-4129 ,,Thunder Bay—Atikokan,New Democratic Party of Ontario,81,"Thunder Bay, ON P7E 5Y9, Canada",,48.3834759,-89.2437775,"48.3834759,-89.2437775",ChIJBaTGjk4fWU0RnuFyl3b-0ag,postal_code,P7E 5Y9,P7E 5Y9,1,OK,,1379.414
,Judith,Monteith-Farrell,Female ,Constituency office,"Suite 105
105 Main St. E
P.O. Box 1886
",Atikokan,ON,P0T 1C0,,JMonteith-Farrell-QP@ndp.on.ca,807-597-2629,807-597-2402,,,Thunder Bay—Atikokan,New Democratic Party of Ontario,82,"Atikokan, ON P0T 1C0, Canada",,48.757646,-91.6205159,"48.757646,-91.6205159",ChIJo1cNDPL2o1IR5vrunV3sHvs,postal_code,P0T 1C0,P0T 1C0,1,OK,,1566.093
,Suze,Morrison,Female ,Constituency office,"329 Parliament St.
",Toronto,ON,M5A 2Z3,SMorrison-CO@ndp.on.ca,SMorrison-QP@ndp.on.ca,416-972-7683,416-972-7686,,,Toronto Centre,New Democratic Party of Ontario,83,"Toronto, ON M5A 2Z3, Canada",,43.659714,-79.3658275,"43.659714,-79.36582750000001",ChIJEyO-_kbL1IkRa5Ex3wBf3PU,postal_code,M5A 2Z3,M5A 2Z3,1,OK,,2.881
Hon.,Caroline,Mulroney,Female ,Constituency office,"Unit 8
45 Grist Mill Rd.
",Holland Landing,ON,L9N 1M7,caroline.mulroneyco@pc.ola.org,caroline.mulroney@pc.ola.org,905-895-1555   ,905-895-0337 ,,,York—Simcoe,Progressive Conservative Party of Ontario,84,"Holland Landing, ON L9N 1M7, Canada",,44.0983531,-79.4733767,"44.0983531,-79.4733767",ChIJm3_83n7OKogRIFQDrAFwFfM,postal_code,L9N 1M7,L9N 1M7,1,OK,,59.586
,Taras,Natyshak,Male ,Constituency office,"316 Talbot St. N
",Essex,ON,N8M 2E1,,tnatyshak-qp@ndp.on.ca,519-776-6420 ,519-776-6980   , 1-800-265-3909  ,,Essex,New Democratic Party of Ontario,85,"Essex, ON N8M 2E1, Canada",,42.1787312,-82.828045,"42.1787312,-82.828045",ChIJC9hIQlPXOogRgWVWihbIU94,postal_code,N8M 2E1,N8M 2E1,1,OK,,354.957
,Rick,Nicholls,Male ,Constituency office,"Suite 100
111 Heritage Rd.
",Chatham,ON,N7M 5W7,rick.nichollsco@pc.ola.org,rick.nicholls@pc.ola.org,519-351-0510   ,519-351-7714 ,1-800-265-3992   ,,Chatham-Kent—Leamington,Progressive Conservative Party of Ontario,86,"Chatham, ON N7M 5W7, Canada",,42.3914928,-82.2099338,"42.39149279999999,-82.2099338",ChIJ6QIefpz4L4gRjEQ4LgU5714,postal_code,N7M 5W7,N7M 5W7,1,OK,,297.686
,Rick,Nicholls,Male ,Constituency office,"Unit B
115 Erie St. N
",Leamington,ON,,,rick.nicholls@pc.ola.org,519-326-3367 ,519-326-0404   ,,,Chatham-Kent—Leamington,Progressive Conservative Party of Ontario,87,"125 SE 3rd Ave, Hillsboro, OR 97123, USA",,45.522208,-122.9863281,"45.522208,-122.9863281",ChIJa60T4zQOlVQRtF4iy0mqCpU,"clothing_store,establishment,point_of_interest,store",97123,,1,OK,,4253.904
,Sam,Oosterhoff,Male ,Constituency office,"Unit M1
4961 King St. E.
",Beamsville,ON,L0R 1B0,sam.oosterhoffco@pc.ola.org,sam.oosterhoff@pc.ola.org,905-563-1755,905-563-1317,,,Niagara West,Progressive Conservative Party of Ontario,88,"Beamsville, ON L0R 1B0, Canada",,43.1895713,-79.4774195,"43.1895713,-79.4774195",ChIJdWuuKQOuLIgRBQOaQLuqglU,postal_code,L0R 1B0,L0R 1B0,1,OK,,93.631
,Billy,Pang,Male ,Constituency office,"Unit 602
3601 Hwy. 7 E
",Markham,ON,L3R 0M3,billy.pangco@pc.ola.org,billy.pang@pc.ola.org,905-474-3288,905-474-2878,,,Markham—Unionville,Progressive Conservative Party of Ontario,89,"Markham, ON L3R 0M3, Canada",,43.8538977,-79.3380185,"43.8538977,-79.33801849999999",ChIJZR_UxPnU1IkRXl8dWCjod-0,postal_code,L3R 0M3,L3R 0M3,1,OK,,29.134
,Lindsey,Park,Female ,Constituency office,"23 King St. W
",Bowmanville,ON,L1C 1R2,lindsey.parkco@pc.ola.org,lindsey.park@pc.ola.org,905-697-1501,905-697-1506,,,Durham,Progressive Conservative Party of Ontario,90,"Bowmanville, ON L1C 1R2, Canada",,43.9122394,-78.6903947,"43.9122394,-78.6903947",ChIJfxfrpdIA1YkRQRtGyAGSGpc,postal_code,L1C 1R2,L1C 1R2,1,OK,,75.836
,Michael,Parsa,Male ,Constituency office,"Suite 201
13085 Yonge St.
",Richmond Hill,ON,L4E 3S8,michael.parsaco@pc.ola.org,,905-773-6250,905-773-8158,888-486-5352,,Aurora—Oak Ridges—Richmond Hill,Progressive Conservative Party of Ontario,91,"Richmond Hill, ON L4E 3S8, Canada",,43.9476618,-79.4547427,"43.9476618,-79.4547427",ChIJazFUuczVKogRB7dJgwYzXYQ,postal_code,L4E 3S8,L4E 3S8,1,OK,,44.085
,Randy,Pettapiece,Male ,Constituency office,"Unit 2
55 Lorne Ave. E
",Stratford,ON,N5A 6S4,randy.pettapiececo@pc.ola.org,randy.pettapiece@pc.ola.org,519-272-0660, 519-272-1064,,,Perth—Wellington,Progressive Conservative Party of Ontario,92,"Stratford, ON N5A 6S4, Canada",,43.3439972,-80.9815817,"43.3439972,-80.98158169999999",ChIJ81lUjeKxLogRTMz_xhB0t0Q,postal_code,N5A 6S4,N5A 6S4,1,OK,,152.723
Hon.,Rod,Phillips,Male ,Constituency office,"Suite 209
1 Rossland Rd. W
",Ajax,ON,L1Z 1Z2,rod.phillipsco@pc.ola.org,rod.phillips@pc.ola.org,905-427-2060,905-427-6976,,,Ajax,Progressive Conservative Party of Ontario,93,"Ajax, ON L1Z 1Z2, Canada",,43.8783769,-79.0331639,"43.8783769,-79.03316389999999",ChIJpWwtAw8g1YkR-MolrQzO_M8,postal_code,L1Z 1Z2,L1Z 1Z2,1,OK,,46.609
,David,Piccini,Male ,Constituency office,"117 Peter St.
",Port Hope,ON,L1A 1C5,,david.piccini@pc.ola.org,905-372-4000,905-885-0050,,,Northumberland—Peterborough South,Progressive Conservative Party of Ontario,94,"Port Hope, ON L1A 1C5, Canada",,43.9496601,-78.283029,"43.9496601,-78.283029",ChIJO2NR3vzH1YkRzsnsgDb6y6s,postal_code,L1A 1C5,L1A 1C5,1,OK,,108.523
,Tom,Rakocevic,Male ,Constituency office,"Unit 38
2300 Finch Ave. W
",North York,ON,M9M 2Y3,TRakocevic-CO@ndp.on.ca,TRakocevic-QP@ndp.on.ca,416-743-7272,416-743-3292,,,Humber River—Black Creek,New Democratic Party of Ontario,95,"North York, ON M9M 2Y3, Canada",,43.7536758,-79.5422546,"43.7536758,-79.54225459999999",ChIJ4W9_IxQwK4gRh_5lJ3DljxQ,postal_code,M9M 2Y3,M9M 2Y3,1,OK,,22.705
,Kaleed,Rasheed,Male ,Constituency office,"Unit 315
1420 Burnhamthorpe Rd. E
",Mississauga,ON,L4X 2Z9,kaleed.rasheedco@pc.ola.org,kaleed.rasheed@pc.ola.org,905-238-1751,905-238-4918 ,,,Mississauga East—Cooksville,Progressive Conservative Party of Ontario,96,"Mississauga, ON L4X 2Z9, Canada",,43.6233121,-79.6012513,"43.6233121,-79.6012513",ChIJz5wcQH84K4gRLzeOcZRZQpU,postal_code,L4X 2Z9,L4X 2Z9,1,OK,,23.662
Hon.,Greg,Rickford,Male ,Constituency office,"300 McClellan Ave. East Room
",Kenora,ON,P9N 1A8,,greg.rickford@pc.ola.org,807-467-2415,807-467-2641, 1-800-465-8501,,Kenora—Rainy River,Progressive Conservative Party of Ontario,97,"Kenora, ON P9N 1A8, Canada",,49.7677972,-94.4877559,"49.7677972,-94.4877559",ChIJO03F2YEIvlIR76dNCNzde0M,postal_code,P9N 1A8,P9N 1A8,1,OK,,1848.458
Hon.,Greg,Rickford,Male ,Constituency office,"Unit 1
279 Scott St.
",Fort Frances,ON,P9A 1G8,,greg.rickford@pc.ola.org,807-274-7619,807-274-3721,,,Kenora—Rainy River,Progressive Conservative Party of Ontario,98,"Fort Frances, ON P9A 1G8, Canada",,48.6097409,-93.3972567,"48.6097409,-93.3972567",ChIJTa_Ej0J8u1IR5iBtdOQkA84,postal_code,P9A 1G8,P9A 1G8,1,OK,,1695.272
Hon.,Greg,Rickford,Male ,Constituency office,"Unit 2
439 Government St.
",Dryden,ON,P8N 2P4,,greg.rickford@pc.ola.org,807-223-6456,807-223-6593,1-800-465-8501,,Kenora—Rainy River,Progressive Conservative Party of Ontario,99,"Dryden, ON P8N 2P4, Canada",,49.7875846,-92.83193,"49.7875846,-92.83193",ChIJv48SPTCyolIR1uE4IN8xKfU,postal_code,P8N 2P4,P8N 2P4,1,OK,,1711.358
,Jeremy,Roberts,Male ,Constituency office,"Unit 500
1580 Merivale Rd.
",Nepean,ON,K2G 4B5,,jeremy.roberts@pc.ola.org,613-721-8075,613-721-5756,,,Ottawa West—Nepean,Progressive Conservative Party of Ontario,100,"Nepean, ON K2G 4B5, Canada",,45.3512685,-75.7343479,"45.3512685,-75.7343479",ChIJD-SSyv8GzkwRT2t1D9gHRZk,postal_code,K2G 4B5,K2G 4B5,1,OK,,443.737
Hon.,Ross,Romano,Male ,Constituency office,"Suite 102
390 Bay St.
",Sault Ste Marie,ON,P6A 1X2,ross.romanoco@pc.ola.org,ross.romano@pc.ola.org,705-949-6959,705-946-6269,,,Sault Ste. Marie,Progressive Conservative Party of Ontario,101,"Sault Ste. Marie, ON P6A 1X2, Canada",,46.5113018,-84.3344116,"46.5113018,-84.3344116",ChIJFwSQfbU5Nk0R4Ei3ahMEnDQ,postal_code,P6A 1X2,P6A 1X2,1,OK,,685.254
,Sheref,Sabawy,Male ,Constituency office,"Unit 40
4181 Sladeview Cres
",Mississauga,ON,L5L 5R2,,sheref.sabawy@pc.ola.org,905-820-8851,905-820-4307,,,Mississauga—Erin Mills,Progressive Conservative Party of Ontario,102,"Mississauga, ON L5L 5R2, Canada",,43.5311949,-79.7172011,"43.5311949,-79.7172011",ChIJn4M-4WlCK4gRZE9qOc6oLVI,postal_code,L5L 5R2,L5L 5R2,1,OK,,38.312
,Amarjot,Sandhu,Male ,Constituency office,"Unit 309
10 Gillingham Dr.
",Brampton,ON,L6X 0G6,amarjot.sandhuco@pc.ola.org,amarjot.sandhu@pc.ola.org,905-595-1532,905-457-8496,,,Brampton West,Progressive Conservative Party of Ontario,103,"Brampton, ON L6X 0G6, Canada",,43.7037245,-79.7858932,"43.7037245,-79.78589319999999",ChIJZ_D_uTIUK4gRt1SVCrvrd-s,postal_code,L6X 0G6,L6X 0G6,1,OK,,47.93
Hon.,Prabmeet Singh,Sarkaria,Male ,Constituency office,"Unit 412A
7700 Hurontario St.
",Brampton,ON,L6Y 4M3,,prabmeet.sarkaria@pc.ola.org,905-796-8669, 905-796-8069,,,Brampton South,Progressive Conservative Party of Ontario,104,"Brampton, ON L6Y 4M3, Canada",,43.6591282,-79.7256152,"43.6591282,-79.72561520000001",ChIJ14dgqMU_K4gRDuMNsXgYtcg,postal_code,L6Y 4M3,L6Y 4M3,1,OK,,40.24
,Peggy,Sattler,Female ,Constituency office,"Unit 101
240 Commissioners Rd. W
",London,ON,N6J 1Y1,Psattler-co@ndp.on.ca,Psattler-qp@ndp.on.ca,519-657-3120,519-657-0368,,,London West,New Democratic Party of Ontario,105,"London, ON N6J 1Y1, Canada",,42.956146,-81.2713267,"42.956146,-81.2713267",ChIJDekEp3XxLogRgDUYfespgQA,postal_code,N6J 1Y1,N6J 1Y1,1,OK,,193.276
,Mike,Schreiner,Male ,Constituency office,"173 Woolwich St.
",Guelph,ON,N1H 3V4,mschreiner-co@ola.org,Mschreiner@ola.org,519-836-4190,519-836-4191,,,Guelph,Green Party of Ontario,106,"Guelph, ON N1H 3V4, Canada",,43.548522,-80.2528669,"43.548522,-80.2528669",ChIJzTQs5eqaK4gRgtutd1_Slpw,postal_code,N1H 3V4,N1H 3V4,1,OK,,95.602
Hon.,Laurie,Scott,Female ,Constituency office,"14 Lindsay St. N
",Lindsay,ON,K9V 1T4,laurie.scottco@pc.ola.org,laurie.scott@pc.ola.org,705-324-6654,,1-800-424-2490,,Haliburton—Kawartha Lakes—Brock,Progressive Conservative Party of Ontario,107,"Lindsay, ON K9V 1T4, Canada",,44.3569073,-78.7349559,"44.3569073,-78.7349559",ChIJS-LOHUV51YkRdszyGD5Gb5s,postal_code,K9V 1T4,K9V 1T4,1,OK,,131.609
,Sandy,Shaw,Female ,Constituency office,"177 King St. W
",Dundas,ON,L9H 1V3,,SShaw-CO@ndp.on.ca,905-628-2755,905-628-1280,,,Hamilton West—Ancaster—Dundas,New Democratic Party of Ontario,108,"Dundas, ON L9H 1V3, Canada",,43.267261,-79.9603627,"43.267261,-79.96036269999999",ChIJCzArwZ2ELIgRMqG80wje_Lg,postal_code,L9H 1V3,L9H 1V3,1,OK,,72.299
,Amanda,Simard,Female ,Constituency office,"290A McGill St.
",Hawkesbury,ON,K6A 1P8,,,613-632-2706,613-632-1554,1-800-294-8250,,Glengarry—Prescott—Russell,Ontario Liberal Party,109,"290 McGill St, Hawkesbury, ON K6A 1P8, Canada",,45.608208,-74.614413,"45.608208,-74.614413",ChIJgd7lMErvzkwRTmSoJOFvrqc,"establishment,point_of_interest",K6A 1P8,K6A 1P8,1,OK,,504.632
,Gurratan,Singh,Male ,Constituency office,"Unit 307
1 Gateway Blvd.
",Brampton,ON,L6T 0G3,GSingh-CO@ndp.on.ca,GSingh-QP@ndp.on.ca,905-799-3939,905-799-9505,,,Brampton East,New Democratic Party of Ontario,110,"Brampton, ON L6T 0G3, Canada",,43.7380946,-79.7008693,"43.7380946,-79.7008693",ChIJ9ZZFgq49K4gRNq6CSb87meM,postal_code,L6T 0G3,L6T 0G3,1,OK,,42.703
,Sara,Singh,Female ,Constituency office,"Lakeridge Plaza
Unit 12
456 Vodden St. E.
",Brampton,ON,L6S 5Y7,SSingh-CO@ndp.on.ca,SSingh-QP@ndp.on.ca,905-454-1233,905-454-8292,,,Brampton Centre,New Democratic Party of Ontario,111,"Brampton, ON L6S 5Y7, Canada",,43.7135754,-79.7422658,"43.7135754,-79.7422658",ChIJHf-qIQcWK4gR9aawAkh9WCA,postal_code,L6S 5Y7,L6S 5Y7,1,OK,,45.048
,Donna,Skelly,Female ,Constituency office,"Suite 104
2000 Garth St.
",Hamilton,ON,L9B 0C1,,donna.skelly@pc.ola.org,905-679-3770,905-679-0288,,,Flamborough—Glanbrook,Progressive Conservative Party of Ontario,112,"Hamilton, ON L9B 0C1, Canada",,43.2016177,-79.9155971,"43.2016177,-79.9155971",ChIJlQJnYayaLIgRYXMqnBah_P4,postal_code,L9B 0C1,L9B 0C1,1,OK,,80.34
,Dave,Smith,Male ,Constituency office,"Unit 4
1123 Water St.
",Peterborough,ON,K9H 3P7,,dave.smith@pc.ola.org,705-742-3777,705-742-1822,,,Peterborough—Kawartha,Progressive Conservative Party of Ontario,113,"Peterborough, ON K9H 3P7, Canada",,44.3321745,-78.3164747,"44.3321745,-78.3164747",ChIJkSVwgmeL1YkRouAFcOhSAFM,postal_code,K9H 3P7,K9H 3P7,1,OK,,140.955
Hon.,Todd,Smith,Male ,Constituency office,"Unit D
5503 Hwy. 62 S
P.O. Box 6-2
",Belleville,ON,K8N 0L5,todd.smithco@pc.ola.org,,613-962-1144,613-969-6381,,,Bay of Quinte,Progressive Conservative Party of Ontario,114,"15 Prince Edward Rd 3, Belleville, ON K8N 0L5, Canada",,44.1416692,-77.3852924,"44.1416692,-77.3852924",ChIJH1CiYKQ61okRBu6oFSUOraE,"clothing_store,establishment,point_of_interest,store",K8N 0L5,K8N 0L5,1,OK,,188.853
,Jennifer (Jennie),Stevens,Female ,Constituency office,"Unit B
209 Carlton St.
",St. Catharines,ON,L2R 1S1,JStevens-CO@ndp.on.ca,,905-935-0018,905-935-0191,,,St. Catharines,New Democratic Party of Ontario,115,"St. Catharines, ON L2R 1S1, Canada",,43.1732535,-79.2489914,"43.1732535,-79.2489914",ChIJY3QPHgJR04kRJkLUeC-cpaY,postal_code,L2R 1S1,L2R 1S1,1,OK,,112.001
