District name,Primary role,Name,First name,Last name,Gender,Party name,Email,Office type,Phone,Fax,Office type,Address,Phone,,formatted_address,,latitude,longitude,coordinates,google_place_id,type,postcode,input_string,number_of_results,status,distance from Quebec Prov Parli.
Gouin,MNA,Gabriel Nadeau-Dubois,Gabriel,Nadeau-Dubois,,Québec solidaire,Gabriel.Nadeau-Dubois.GOUI@assnat.qc.ca,legislature,1 418 644-1467,,constituency,"1453, rue Beaubien Est Bureau 201 Montréal (Quebec) H2G 3C6",1 514 864-6133,37,"1453 Rue Beaubien E Bureau 201, Montréal, QC H2G 3C6, Canada",,45.5417251,-73.5983566,"45.5417251,-73.5983566",Ej0xNDUzIFJ1ZSBCZWF1YmllbiBFIEJ1cmVhdSAyMDEsIE1vbnRyw6lhbCwgUUMgSDJHIDNDNiwgQ2FuYWRhIiYaJAoWChQKEgkdckPiQhnJTBEZuMia8IXIJBIKQnVyZWF1IDIwMQ,subpremise,H2G 3C6,"1453, rue Beaubien Est Bureau 201 Montréal (Quebec) H2G 3C6",1,OK,593.993
Granby,MNA,François Bonnardel,François,Bonnardel,,Coalition avenir Québec,Francois.Bonnardel.GRAN@assnat.qc.ca,legislature,1 418 643-6980,,constituency,"650, rue Principale Granby (Quebec) J2G 8L4",1 450 372-9152,38,"650 Rue Principale, Granby, QC J2G 8L4, Canada",,45.4082992,-72.7436537,"45.40829919999999,-72.7436537",ChIJkSYCsF_OyUwRkorVbXxlllw,premise,J2G 8L4,"650, rue Principale Granby (Quebec) J2G 8L4",1,OK,540.6
Groulx,MNA,Eric Girard,Eric,Girard,,Coalition avenir Québec,Eric.Girard.GROU@assnat.qc.ca,legislature,1 418 643-5270,,constituency,"204, boulevard du Curé-Labelle Bureau 210 Sainte-Thérèse (Quebec) J7E 2X7",1 450 430-7890,39,"204 Boulevard Curé-Labelle Bureau 210, Sainte-Thérèse, QC J7E 1V6, Canada",,45.6437349,-73.8340187,"45.6437349,-73.8340187",EkwyMDQgQm91bGV2YXJkIEN1csOpLUxhYmVsbGUgQnVyZWF1IDIxMCwgU2FpbnRlLVRow6lyw6hzZSwgUUMgSjdFIDFWNiwgQ2FuYWRhIiYaJAoWChQKEglr7n382ifJTBFBZyQgWDf-0xIKQnVyZWF1IDIxMA,subpremise,J7E 1V6,"204, boulevard du Curé-Labelle Bureau 210 Sainte-Thérèse (Quebec) J7E 2X7",1,OK,620.49
Hochelaga-Maisonneuve,MNA,Alexandre Leduc,Alexandre,Leduc,,Québec solidaire,Alexandre.Leduc.HOCH@assnat.qc.ca,legislature,1 581 814-1286,,constituency,"2030, boulevard Pie-IX Bureau 300 Montréal (Quebec) H1V 2C8",1 514 873-9309,40,"2030 Boulevard Pie-IX bureau 300, Montréal, QC H1V 2C8, Canada",,45.550358,-73.542698,"45.550358,-73.542698",ChIJVVVV4IkbyUwRXt2RgtoXXGw,subpremise,H1V 2C8,"2030, boulevard Pie-IX Bureau 300 Montréal (Quebec) H1V 2C8",1,OK,593.146
Hull,MNA,Maryse Gaudreault,Maryse,Gaudreault,,Parti libéral du Québec,Maryse.Gaudreault.HULL@assnat.qc.ca,legislature,1 418 644-1007,,constituency,"259, boulevard Saint-Joseph Bureau 207 Gatineau (Quebec) J8Y 6T1",1 819 772-3000,41,"259 Boulevard Saint-Joseph Bureau 207, Gatineau, QC J8Y 6T1, Canada",,45.4370828,-75.73338,"45.4370828,-75.73338",ChIJz5ceVpsEzkwRZwT1AIy1USg,subpremise,J8Y 6T1,"259, boulevard Saint-Joseph Bureau 207 Gatineau (Quebec) J8Y 6T1",1,OK,702.73
Huntingdon,MNA,Claire IsaBelle,Claire,IsaBelle,,Coalition avenir Québec,Claire.IsaBelle.HUNT@assnat.qc.ca,legislature,1 581 628-1806,,constituency,"263, boul. Saint-Joseph Sainte-Martine (Quebec) J0S 1V0",1 450 427-2150,42,"263 Rue Saint-Joseph, Sainte-Martine, QC J0S 1V0, Canada",,45.252911,-73.7973738,"45.252911,-73.7973738",ChIJ2xaU2g5pyUwRVYihDkxD0No,street_address,J0S 1V0,"263, boul. Saint-Joseph Sainte-Martine (Quebec) J0S 1V0",1,OK,585.134
Iberville,MNA,Claire Samson,Claire,Samson,,Coalition avenir Québec,Claire.Samson.IBER@assnat.qc.ca,legislature,1 418 644-1475,,constituency,"327, 2e Avenue Saint-Jean-sur-Richelieu (Quebec) J2X 2B5",1 450 346-1123,43,"327 2e Avenue, Saint-Jean-sur-Richelieu, QC J2X 2E4, Canada",,45.304128,-73.234758,"45.304128,-73.234758",ChIJtd-n1fuiyUwRrW_9d8AgebA,street_address,J2X 2E4,"327, 2e Avenue Saint-Jean-sur-Richelieu (Quebec) J2X 2B5",1,OK,545.738
Jacques-Cartier,MNA,Gregory Kelley,Gregory,Kelley,,Parti libéral du Québec,Gregory.Kelley.JACA@assnat.qc.ca,legislature,1 581 628-1809,,constituency,"Place Scotia 620, boulevard Saint-Jean Bureau 206 Pointe-Claire (Quebec) H9R 3K2",1 514 697-7663,44,"620 Boul Saint-Jean, Pointe-Claire, QC H9R 3K2, Canada",,45.4602373,-73.8232325,"45.4602373,-73.8232325",ChIJo6isVmk8yUwRoZFIUpqeoNQ,"bank,establishment,finance,point_of_interest",H9R 3K2,"Place Scotia 620, boulevard Saint-Jean Bureau 206 Pointe-Claire (Quebec) H9R 3K2",1,OK,608.385
Jean-Lesage,MNA,Sol Zanetti,Sol,Zanetti,,Québec solidaire,Sol.Zanetti.JELE@assnat.qc.ca,legislature,1 418 646-7635,,constituency,"1750, avenue De Vitré Bureau 303 Québec (Quebec) G1J 1Z6",1 418 648-6221,45,"1750 Avenue de Vitré Bureau 303, Québec, QC G1J 1Z6, Canada",,46.8370409,-71.2236001,"46.8370409,-71.22360010000001",EjUxNzUwIEF2ZW51ZSBkZSBWaXRyw6kgQnVyZWF1IDMwMywgUXXDqWJlYywgUUMsIENhbmFkYSImGiQKFgoUChIJAYUJUh6WuEwRgxX2nE5Su50SCkJ1cmVhdSAzMDM,subpremise,G1J 1Z6,"1750, avenue De Vitré Bureau 303 Québec (Quebec) G1J 1Z6",1,OK,734.674
Jean-Talon,MNA,Joëlle Boutin,Joëlle,Boutin,,Coalition avenir Québec,Joelle.Boutin.JETA@assnat.qc.ca,legislature,1 418 643-0223,,constituency,"969, route de l'Église Bureau 310 Québec (Quebec) G1V 3V4",1 418 682-8167,46,"969 Rte de l'Église Bureau 310, Québec, QC G1V 3V4, Canada",,46.7741045,-71.29825,"46.7741045,-71.29825",Ejw5NjkgUnRlIGRlIGwnw4lnbGlzZSBCdXJlYXUgMzEwLCBRdcOpYmVjLCBRQyBHMVYgM1Y0LCBDYW5hZGEiJhokChYKFAoSCUWVmJzVlrhMEW1xpruxrfhrEgpCdXJlYXUgMzEw,subpremise,G1V 3V4,"969, route de l'Église Bureau 310 Québec (Quebec) G1V 3V4",1,OK,719.486
Jeanne-Mance-Viger,MNA,Filomena Rotiroti,Filomena,Rotiroti,,Parti libéral du Québec,Filomena.Rotiroti.JMV@assnat.qc.ca,legislature,1 418 643-2301,,constituency,"5450, rue Jarry Est Bureau 100 Saint-Léonard (Quebec) H1P 1T9",1 514 326-0491,47,"5450 Rue Jarry E Bureau 100, Saint-Léonard, QC H1P 1T9, Canada",,45.5847617,-73.5904071,"45.5847617,-73.5904071",Ej81NDUwIFJ1ZSBKYXJyeSBFIEJ1cmVhdSAxMDAsIFNhaW50LUzDqW9uYXJkLCBRQyBIMVAgMVQ5LCBDYW5hZGEiJhokChYKFAoSCUsmwdDtHslMEbznlKyuIlbAEgpCdXJlYXUgMTAw,subpremise,H1P 1T9,"5450, rue Jarry Est Bureau 100 Saint-Léonard (Quebec) H1P 1T9",1,OK,603.81
Johnson,MNA,André Lamontagne,André,Lamontagne,,Coalition avenir Québec,Andre.Lamontagne.JOHN@assnat.qc.ca,legislature,1 418 380-2525,,constituency,"641, rue Saint-Pierre Drummondville (Quebec) J2C 3W6",1 819 474-7770,48,"641 Rue Saint-Pierre, Drummondville, QC J2C 3W6, Canada",,45.88153,-72.505353,"45.88153,-72.505353",ChIJzclCgt8TyEwRlVz6ZeDK4oI,street_address,J2C 3W6,"641, rue Saint-Pierre Drummondville (Quebec) J2C 3W6",1,OK,574.341
Joliette,MNA,Véronique Hivon,Véronique,Hivon,,Parti québécois,Veronique.Hivon.JOLI@assnat.qc.ca,legislature,1 418 263-0666,,constituency,"970, rue Saint-Louis Joliette (Quebec) J6E 3A4",1 450 752-6929,49,"970 Rue Saint-Louis, Joliette, QC J6E 3A4, Canada",,46.0211496,-73.4508978,"46.0211496,-73.45089779999999",ChIJaU81-si9yEwRXDJFbQ8Ao84,street_address,J6E 3A4,"970, rue Saint-Louis Joliette (Quebec) J6E 3A4",1,OK,659.548
Jonquière,MNA,Sylvain Gaudreault,Sylvain,Gaudreault,,Parti québécois,Sylvain.Gaudreault.JONQ@assnat.qc.ca,legislature,1 581 628-1853,,constituency,"2240, rue Montpetit RC Jonquière (Quebec) G7X 6A3",1 418 547-0666,50,"2240 Rue Montpetit, Jonquière, QC G7X 6A3, Canada",,48.4121669,-71.2527019,"48.4121669,-71.25270189999999",ChIJ--dU1iEpwEwR_uy0cW21DLc,street_address,G7X 6A3,"2240, rue Montpetit RC Jonquière (Quebec) G7X 6A3",1,OK,938.811
L'Assomption,MNA,François Legault,François,Legault,,Coalition avenir Québec,,legislature,1 418 643-5321,,constituency,"831, boulevard de l'Ange-Gardien Nord Bureau 208 L'Assomption (Quebec) J5W 1P5",1 450 589-0226,51,"831 Boulevard de l'Ange Gardien N Bureau 208, L'Assomption, QC J5W 1P5, Canada",,45.839002,-73.414469,"45.839002,-73.414469",ChIJDball1bpyEwR67oLhtmR91M,"establishment,local_government_office,point_of_interest",J5W 1P5,"831, boulevard de l'Ange-Gardien Nord Bureau 208 L'Assomption (Quebec) J5W 1P5",1,OK,632.096
La Peltrie,MNA,Éric Caire,Éric,Caire,,Coalition avenir Québec,Eric.Caire.LAPE@assnat.qc.ca,legislature,1 418 781-1737,,constituency,"5121, boulevard Chauveau Ouest Bureau 201 Québec (Quebec) G2E 5A6",1 418 877-5260,52,"5121 Boulevard Chauveau O Bureau 201, Québec, QC G2E 5A6, Canada",,46.8196053,-71.3669345,"46.8196053,-71.3669345",EkE1MTIxIEJvdWxldmFyZCBDaGF1dmVhdSBPIEJ1cmVhdSAyMDEsIFF1w6liZWMsIFFDIEcyRSA1QTYsIENhbmFkYSImGiQKFgoUChIJ9WP5RbKZuEwRwWmxkvHhqo8SCkJ1cmVhdSAyMDE,subpremise,G2E 5A6,"5121, boulevard Chauveau Ouest Bureau 201 Québec (Quebec) G2E 5A6",1,OK,727.434
La Pinière,MNA,Gaétan Barrette,Gaétan,Barrette,,Parti libéral du Québec,Gaetan.Barrette.LAPI@assnat.qc.ca,legislature,1 581 628-1813,,constituency,"6300, avenue Auteuil bureau 425 Brossard (Quebec) J4Z 3P2",1 450 678-0611,53,"6300 Avenue Auteuil bureau 425, Brossard, QC J4Z 3P2, Canada",,45.4675803,-73.4642572,"45.46758029999999,-73.46425719999999",Ejw2MzAwIEF2ZW51ZSBBdXRldWlsIGJ1cmVhdSA0MjUsIEJyb3NzYXJkLCBRQyBKNFogM1AyLCBDYW5hZGEiJhokChYKFAoSCV1RMhWCBclMEdunyVQm-RwgEgpidXJlYXUgNDI1,subpremise,J4Z 3P2,"6300, avenue Auteuil bureau 425 Brossard (Quebec) J4Z 3P2",1,OK,576.494
La Prairie,MNA,Christian Dubé,Christian,Dubé,,Coalition avenir Québec,Christian.Dube.LAPR@assnat.qc.ca,legislature,1 418 266-7171,,constituency,"26, boul. Taschereau Bureau 306 La Prairie (Quebec) J5R 0R9",1 450 619-7313,54,"26 Boulevard Taschereau Bureau 306, La Prairie, QC J5R 5G2, Canada",,45.4261092,-73.4831192,"45.42610920000001,-73.48311919999999",EjoyNiBCb3VsZXZhcmQgVGFzY2hlcmVhdSBCdXJlYXUgMzA2LCBMYSBQcmFpcmllLCBRQywgQ2FuYWRhIiYaJAoWChQKEgnhp7AEAg_JTBEwFkxsKF8hohIKQnVyZWF1IDMwNg,subpremise,J5R 5G2,"26, boul. Taschereau Bureau 306 La Prairie (Quebec) J5R 0R9",1,OK,586.328
LaFontaine,MNA,Marc Tanguay,Marc,Tanguay,,Parti libéral du Québec,marc.tanguay-lafo@assnat.qc.ca,legislature,1 418 528-7413,,constituency,"9094, boulevard Maurice-Duplessis Montréal (Quebec) H1E 7C2",1 514 648-1007,55,"9094 Boulevard Maurice-Duplessis, Montréal, QC H1E 7C2, Canada",,45.6438236,-73.5731246,"45.6438236,-73.5731246",ChIJKVqFCc3hyEwRAupBfRZH6LA,street_address,H1E 7C2,"9094, boulevard Maurice-Duplessis Montréal (Quebec) H1E 7C2",1,OK,607.666
Labelle,MNA,Chantale Jeannotte,Chantale,Jeannotte,,Coalition avenir Québec,Chantale.Jeannotte.LABE@assnat.qc.ca,legislature,1 418 528-1349,,constituency,"499, rue Charbonneau Bureau 202 Mont-Tremblant (Quebec) J8E 3H4",1 819 429-5038,56,"499 Rue Charbonneau Bureau 202, Mont-Tremblant, QC J8E 3H4, Canada",,46.1202899,-74.5943604,"46.1202899,-74.5943604",EkI0OTkgUnVlIENoYXJib25uZWF1IEJ1cmVhdSAyMDIsIE1vbnQtVHJlbWJsYW50LCBRQyBKOEUgM0g0LCBDYW5hZGEiJhokChYKFAoSCU-epecCdc9MEYOPxx4hXVEQEgpCdXJlYXUgMjAy,subpremise,J8E 3H4,"499, rue Charbonneau Bureau 202 Mont-Tremblant (Quebec) J8E 3H4",1,OK,713.031
Lac-Saint-Jean,MNA,Éric Girard,Éric,Girard,,Coalition avenir Québec,Eric.Girard.LSJ@assnat.qc.ca,legislature,1 418 263-0697,,constituency,"A-510, rue Sacré-Coeur Ouest Alma (Quebec) G8B 1L9",1 418 668-6149,57,"510 Rue Sacré-Coeur O, Alma, QC G8B 1M3, Canada",,48.5498871,-71.6498149,"48.5498871,-71.6498149",ChIJz_AAzC926kwRfmSw7llTaqY,street_address,G8B 1M3,"A-510, rue Sacré-Coeur Ouest Alma (Quebec) G8B 1L9",1,OK,952.409
Laporte,MNA,Nicole Ménard,Nicole,Ménard,,Parti libéral du Québec,Nicole.Menard.LAPO@assnat.qc.ca,constituency,1 450 672-1885,,,"228, rue de Woodstock Saint-Lambert (Quebec) J4P 3R5",,58,"228 Rue de Woodstock, Saint-Lambert, QC J4P 3R5, Canada",,45.4999647,-73.5095258,"45.4999647,-73.50952579999999",ChIJR-rDBdEayUwRzpzNAiozPmc,street_address,J4P 3R5,"228, rue de Woodstock Saint-Lambert (Quebec) J4P 3R5",1,OK,583.794
Laurier-Dorion,MNA,Andrés Fontecilla,Andrés,Fontecilla,,Québec solidaire,Andres.Fontecilla.LADO@assnat.qc.ca,legislature,1 418 644-5987,,constituency,"529, rue Jarry Est Bureau 401 Montréal (Quebec) H2P 1V4",1 514 273-1412,59,"529 Rue Jarry E, Montréal, QC H2P 1V4, Canada",,45.5435667,-73.6288418,"45.5435667,-73.6288418",ChIJz7rwVB8ZyUwR7Bs2rRZJ-wo,"doctor,establishment,health,point_of_interest",H2P 1V4,"529, rue Jarry Est Bureau 401 Montréal (Quebec) H2P 1V4",2,OK,600.503
Laval-des-Rapides,MNA,Saul Polo,Saul,Polo,,Parti libéral du Québec,Saul.Polo.LDR@assnat.qc.ca,legislature,1 418 263-0617,,constituency,"400, boulevard Saint-Martin Ouest Bureau 309 Laval (Quebec) H7M 3Y8",1 450 668-6077,60,"400 Boulevard Saint-Martin O Bureau 309, Laval, QC H7M 3Y8, Canada",,45.5769254,-73.7109564,"45.5769254,-73.7109564",EkI0MDAgQm91bGV2YXJkIFNhaW50LU1hcnRpbiBPIEJ1cmVhdSAzMDksIExhdmFsLCBRQyBIN00gM1k4LCBDYW5hZGEiJhokChYKFAoSCTkN28WHIclMEStUG-QicPxzEgpCdXJlYXUgMzA5,subpremise,H7M 3Y8,"400, boulevard Saint-Martin Ouest Bureau 309 Laval (Quebec) H7M 3Y8",1,OK,607.813
Laviolette-Saint-Maurice,MNA,Marie-Louise Tardif,Marie-Louise,Tardif,,Coalition avenir Québec,Marie-Louise.Tardif.LASM@assnat.qc.ca,legislature,1 581 628-1818,,constituency,"695, avenue de la Station Rez-de-chaussée Shawinigan (Quebec) G9N 1V9",1 819 539-7292,61,"695 Avenue de la Station, Shawinigan, QC G9N 1B3, Canada",,46.5417806,-72.7522946,"46.5417806,-72.7522946",ChIJX7kqbxxMxkwRjEYICzxHzB4,premise,G9N 1B3,"695, avenue de la Station Rez-de-chaussée Shawinigan (Quebec) G9N 1V9",1,OK,678.092
Les Plaines,MNA,Lucie Lecours,Lucie,Lecours,,Coalition avenir Québec,Lucie.Lecours.LPLA@assnat.qc.ca,legislature,1 581 628-1820,,constituency,"193, boulevard Sainte-Anne Sainte-Anne-des-Plaines (Quebec) J0N 1H0",1 450 838-7493,62,"193 Boulevard Ste Anne, Sainte-Anne-des-Plaines, QC J0N 1H0, Canada",,45.7620583,-73.812931,"45.7620583,-73.81293099999999",ChIJ-0apAMPQyEwRCPVf3aLQIwM,premise,J0N 1H0,"193, boulevard Sainte-Anne Sainte-Anne-des-Plaines (Quebec) J0N 1H0",1,OK,631.409
Lotbinière-Frontenac,MNA,Isabelle Lecours,Isabelle,Lecours,,Coalition avenir Québec,Isabelle.Lecours.LOFR@assnat.qc.ca,legislature,1 581 628-1822,,constituency,"257, rue Notre-Dame Ouest Thetford Mines (Quebec) G6G 1J7",1 418 332-3444,63,"257 Rue Notre-Dame Ouest, Thetford Mines, QC G6G 1J7, Canada",,46.0875958,-71.3039017,"46.0875958,-71.3039017",ChIJyb3eE60xuEwRlA9CbrYXtk4,premise,G6G 1J7,"257, rue Notre-Dame Ouest Thetford Mines (Quebec) G6G 1J7",1,OK,612.125
Louis-Hébert,MNA,Geneviève Guilbault,Geneviève,Guilbault,,Coalition avenir Québec,Genevieve.Guilbault.LOHE@assnat.qc.ca,legislature,1 418 643-2112,,constituency,"810, route Jean-Gauvin Bureau 202 Québec (Quebec) G1X 0B6",1 418 528-0483,64,"810 Route Jean-Gauvin Bureau 202, Québec, QC G2G 1P8, Canada",,46.7637288,-71.3701593,"46.7637288,-71.3701593",Ej04MTAgUm91dGUgSmVhbi1HYXV2aW4gQnVyZWF1IDIwMiwgUXXDqWJlYywgUUMgRzJHIDFQOCwgQ2FuYWRhIiYaJAoWChQKEgnhH5yVDZq4TBGb99G2s0BWXBIKQnVyZWF1IDIwMg,subpremise,G2G 1P8,"810, route Jean-Gauvin Bureau 202 Québec (Quebec) G1X 0B6",1,OK,726.165
Lévis,MNA,François Paradis,François,Paradis,,Coalition avenir Québec,Francois.Paradis.LEVI@assnat.qc.ca,legislature,1 418 643-2820,,constituency,"5955, rue Saint-Laurent Bureau 210 Lévis (Quebec) G6V 3P5",1 418 833-5550,65,"5955 Rue Saint-Laurent Bureau 210, Lévis, QC G6V 3P5, Canada",,46.8096318,-71.186869,"46.8096318,-71.186869",ChIJwc3Mc7-VuEwROaIkQOn_Ii0,subpremise,G6V 3P5,"5955, rue Saint-Laurent Bureau 210 Lévis (Quebec) G6V 3P5",1,OK,730.451
Marguerite-Bourgeoys,MNA,Hélène David,Hélène,David,,Parti libéral du Québec,Helene.David.MABO@assnat.qc.ca,legislature,1 581 628-1824,,constituency,"7655, boulevard Newman Bureau 311 LaSalle (Quebec) H8N 1X7",1 514 368-1818,66,"7655 Blvd. Newman Bureau 311, LaSalle, QC H8N 1X7, Canada",,45.4391621,-73.6233734,"45.4391621,-73.62337339999999",Ejk3NjU1IEJsdmQuIE5ld21hbiBCdXJlYXUgMzExLCBMYVNhbGxlLCBRQyBIOE4gMVg3LCBDYW5hZGEiJhokChYKFAoSCaNpAH8kEclMEVfxnwohIMdvEgpCdXJlYXUgMzEx,subpremise,H8N 1X7,"7655, boulevard Newman Bureau 311 LaSalle (Quebec) H8N 1X7",1,OK,592.401
Marie-Victorin,MNA,Catherine Fournier,Catherine,Fournier,,Indépendant,Catherine.Fournier.MAVI@assnat.qc.ca,legislature,1 581 628-1028,,,"Hôtel du Parlement 1045, rue des Parlementaires 3e étage, Bureau 3.86 Québec (Quebec) G1A 1A4",,67,"1045 Rue des Parlementaires, Québec, QC G1A 1A3, Canada",,46.808706,-71.2141788,"46.808706,-71.2141788",ChIJb7O4NtiVuEwROoa3BZWSsLA,"establishment,point_of_interest,tourist_attraction",G1A 1A3,"Hôtel du Parlement 1045, rue des Parlementaires 3e étage, Bureau 3.86 Québec (Quebec) G1A 1A4",1,OK,726.158
Marquette,MNA,Enrico Ciccone,Enrico,Ciccone,,Parti libéral du Québec,Enrico.Ciccone.MARQ@assnat.qc.ca,legislature,1 418 628-1852,,constituency,"655, 32e Avenue Bureau 202 Lachine (Quebec) H8T 3G6",1 514 634-9720,68,"655 32e Avenue Bureau 202, Lachine, QC H8T 3G6, Canada",,45.4408552,-73.6928324,"45.4408552,-73.6928324",EjY2NTUgMzJlIEF2ZW51ZSBCdXJlYXUgMjAyLCBMYWNoaW5lLCBRQyBIOFQgM0c2LCBDYW5hZGEiJhokChYKFAoSCalsFcj1FslMERcoxL33Ej4PEgpCdXJlYXUgMjAy,subpremise,H8T 3G6,"655, 32e Avenue Bureau 202 Lachine (Quebec) H8T 3G6",1,OK,596.375
Maskinongé,MNA,Simon Allaire,Simon,Allaire,,Coalition avenir Québec,Simon.Allaire.MASK@assnat.qc.ca,legislature,1 418 644-0617,,constituency,"429, boul. St-Laurent Est Louiseville (Quebec) J5V 1H5",1 819 228-9722,69,"429 Boulevard Saint Laurent E, Louiseville, QC J5V, Canada",,46.2568255,-72.9298892,"46.2568255,-72.92988919999999",EjY0MjkgQm91bGV2YXJkIFNhaW50IExhdXJlbnQgRSwgTG91aXNldmlsbGUsIFFDLCBDYW5hZGEiGxIZChQKEgkrFezgHizGTBHdgehXyaOwnhCtAw,street_address,J5V,"429, boul. St-Laurent Est Louiseville (Quebec) J5V 1H5",1,OK,670.464
Masson,MNA,Mathieu Lemay,Mathieu,Lemay,,Coalition avenir Québec,Mathieu.Lemay.MASS@assnat.qc.ca,legislature,1 418 643-5771,,constituency,"3101, chemin Sainte-Marie Bureau 108 Mascouche (Quebec) J7K 1P2",1 450 966-0111,70,"3101 Chemin Ste Marie Bureau 108, Mascouche, QC J7K 1P2, Canada",,45.743029,-73.597629,"45.743029,-73.597629",Ej8zMTAxIENoZW1pbiBTdGUgTWFyaWUgQnVyZWF1IDEwOCwgTWFzY291Y2hlLCBRQyBKN0sgMVAyLCBDYW5hZGEiJhokChYKFAoSCQXhrcCi3chMEZzKmcAcAG2bEgpCdXJlYXUgMTA4,subpremise,J7K 1P2,"3101, chemin Sainte-Marie Bureau 108 Mascouche (Quebec) J7K 1P2",1,OK,621.761
Matane-Matapédia,MNA,Pascal Bérubé,Pascal,Bérubé,,Parti québécois,Pascal.Berube.MATN@assnat.qc.ca,legislature,1 418 644-9318,,constituency,"121, avenue Fraser Matane (Quebec) G4W 3G8",1 418 562-0371,71,"121 Avenue Fraser, Matane, QC G4W 3G8, Canada",,48.8505839,-67.5388426,"48.8505839,-67.5388426",Ei0xMjEgQXZlbnVlIEZyYXNlciwgTWF0YW5lLCBRQyBHNFcgM0c4LCBDYW5hZGEiGhIYChQKEgntIMy2wsCWTBHU11x6gtW0TRB5,street_address,G4W 3G8,"121, avenue Fraser Matane (Quebec) G4W 3G8",1,OK,1113.04
Maurice-Richard,MNA,Marie Montpetit,Marie,Montpetit,,Parti libéral du Québec,Marie.Montpetit.MAUR@assnat.qc.ca,legislature,1 581 628-1828,,constituency,"1421, rue Fleury Est Montréal (Quebec) H2C 1R9",1 514 387-6314,72,"1421 Rue Fleury E, Montréal, QC H2C 1R9, Canada",,45.5614351,-73.6573811,"45.5614351,-73.6573811",ChIJB09GuLYYyUwRzOfKzrPAS3Y,street_address,H2C 1R9,"1421, rue Fleury Est Montréal (Quebec) H2C 1R9",1,OK,602.375
Mercier,MNA,Ruba Ghazal,Ruba,Ghazal,,Québec solidaire,Ruba.Ghazal.MERC@assnat.qc.ca,legislature,1 418 644-1430,,constituency,"1012, avenue du Mont-Royal Est Bureau 102 Montréal (Quebec) H2J 1X6",1 514 525-8877,73,"1012 Avenue du Mont-Royal E Bureau 102, Montréal, QC H2J 1X6, Canada",,45.5274405,-73.579291,"45.5274405,-73.579291",EkUxMDEyIEF2ZW51ZSBkdSBNb250LVJveWFsIEUgQnVyZWF1IDEwMiwgTW9udHLDqWFsLCBRQyBIMkogMVg2LCBDYW5hZGEiJhokChYKFAoSCdtw2JfaG8lMEQVnzVqoc1O1EgpCdXJlYXUgMTAy,subpremise,H2J 1X6,"1012, avenue du Mont-Royal Est Bureau 102 Montréal (Quebec) H2J 1X6",1,OK,592.377
Mille-Îles,MNA,Francine Charbonneau,Francine,Charbonneau,,Parti libéral du Québec,Francine.Charbonneau.MIIL@assnat.qc.ca,legislature,1 581 628-1830,,constituency,"3131, boulevard de la Concorde Est Bureau 303 Laval (Quebec) H7E 4W4",1 450 661-3595,74,"3131 Boulevard de la Concorde E bureau 303, Laval, QC H7E 4W4, Canada",,45.593546,-73.666968,"45.593546,-73.666968",ChIJkwXe-tshyUwRO6JhK9rPiSo,subpremise,H7E 4W4,"3131, boulevard de la Concorde Est Bureau 303 Laval (Quebec) H7E 4W4",1,OK,617.451
Mirabel,MNA,Sylvie D'Amours,Sylvie,D'Amours,,Coalition avenir Québec,Sylvie.DAmours.MIRA@assnat.qc.ca,constituency,1 450 623-8376,,,"95, chemin Principal, local 101 Saint-Joseph-du-Lac (Quebec) J0N 1M0",,75,"95 Chemin Principal local 101, Saint-Joseph-du-Lac, QC J0N 1M0, Canada",,45.5146116,-73.9792087,"45.51461159999999,-73.9792087",EkY5NSBDaGVtaW4gUHJpbmNpcGFsIGxvY2FsIDEwMSwgU2FpbnQtSm9zZXBoLWR1LUxhYywgUUMgSjBOIDFNMCwgQ2FuYWRhIiUaIwoWChQKEgmdGggqtDHJTBFBQbiX5iAyNhIJbG9jYWwgMTAx,subpremise,J0N 1M0,"95, chemin Principal, local 101 Saint-Joseph-du-Lac (Quebec) J0N 1M0",1,OK,631.956
Mont-Royal-Outremont,MNA,Pierre Arcand,Pierre,Arcand,,Parti libéral du Québec,Pierre.Arcand.MROU@assnat.qc.ca,legislature,1 418 263-0702,,constituency,"5151, rue de la Savane Bureau 201 Montréal (Quebec) H4P 1V1",1 514 341-1151,76,"5151 Rue de la Savane Bureau 201, Montréal, QC H4P 1V1, Canada",,45.499944,-73.657541,"45.499944,-73.657541",Ej81MTUxIFJ1ZSBkZSBsYSBTYXZhbmUgQnVyZWF1IDIwMSwgTW9udHLDqWFsLCBRQyBINFAgMVYxLCBDYW5hZGEiJhokChYKFAoSCdOxAoLNGclMETX5dZzYksRpEgpCdXJlYXUgMjAx,subpremise,H4P 1V1,"5151, rue de la Savane Bureau 201 Montréal (Quebec) H4P 1V1",1,OK,593.257
