District name,Primary role,Name,First name,Last name,Gender,Party name,Email,Photo URL,Source URL,Website,Facebook,Instagram,Twitter,LinkedIn,YouTube,Office type,Address,Phone,Fax,Office type,Address,Phone,Fax
Jean-Talon,MNA,Joëlle Boutin,Joëlle,Boutin,,Coalition avenir Québec,Joelle.Boutin.JETA@assnat.qc.ca,http://www.assnat.qc.ca/Media/Process.aspx?asset=ANQ.Vigie.Bll.Image_38847&process=Original&token=ZyMoxNwUn8ikQ+TRKYwPCjWrKwg+vIv9rjij7p3xLGTZDmLVSmJLoqe/vG7/YWzz,http://www.assnat.qc.ca/fr/deputes/boutin-joelle-18561/index.html,,,,,,,legislature,,1 418 643-0223,,constituency,,1 418 682-8167,
Jeanne-Mance-Viger,MNA,Filomena Rotiroti,Filomena,Rotiroti,,Parti libéral du Québec,Filomena.Rotiroti.JMV@assnat.qc.ca,http://www.assnat.qc.ca/Media/Process.aspx?asset=ANQ.Vigie.Bll.Image_811&process=Original&token=ZyMoxNwUn8ikQ+TRKYwPCjWrKwg+vIv9rjij7p3xLGTZDmLVSmJLoqe/vG7/YWzz,http://www.assnat.qc.ca/fr/deputes/rotiroti-filomena-1171/index.html,,https://www.facebook.com/filomena.rotiroti,,https://twitter.com/FiloRotiroti,,,legislature,,1 418 643-2301,,constituency,,1 514 326-0491,
Johnson,MNA,André Lamontagne,André,Lamontagne,,Coalition avenir Québec,Andre.Lamontagne.JOHN@assnat.qc.ca,http://www.assnat.qc.ca/Media/Process.aspx?asset=ANQ.Vigie.Bll.Image_7617&process=Original&token=ZyMoxNwUn8ikQ+TRKYwPCjWrKwg+vIv9rjij7p3xLGTZDmLVSmJLoqe/vG7/YWzz,http://www.assnat.qc.ca/fr/deputes/lamontagne-andre-15401/index.html,,https://www.facebook.com/andrelamontagnecaq/,,https://twitter.com/andrelamontagn2,,,legislature,,1 418 380-2525,,constituency,,1 819 474-7770,
Joliette,MNA,Véronique Hivon,Véronique,Hivon,,Parti québécois,Veronique.Hivon.JOLI@assnat.qc.ca,http://www.assnat.qc.ca/Media/Process.aspx?asset=ANQ.Vigie.Bll.Image_1037&process=Original&token=ZyMoxNwUn8ikQ+TRKYwPCjWrKwg+vIv9rjij7p3xLGTZDmLVSmJLoqe/vG7/YWzz,http://www.assnat.qc.ca/fr/deputes/hivon-veronique-27/index.html,,https://www.facebook.com/veroniquehivon/,,https://twitter.com/vhivon,,,legislature,,1 418 263-0666,,constituency,,1 450 752-6929,
Jonquière,MNA,Sylvain Gaudreault,Sylvain,Gaudreault,,Parti québécois,Sylvain.Gaudreault.JONQ@assnat.qc.ca,http://www.assnat.qc.ca/Media/Process.aspx?asset=ANQ.Vigie.Bll.Image_923&process=Original&token=ZyMoxNwUn8ikQ+TRKYwPCjWrKwg+vIv9rjij7p3xLGTZDmLVSmJLoqe/vG7/YWzz,http://www.assnat.qc.ca/fr/deputes/gaudreault-sylvain-1001/index.html,,https://www.facebook.com/sylvain.gaudreault.96,,https://twitter.com/SylvainGaudrea2,,,legislature,,1 581 628-1853,,constituency,,1 418 547-0666,
L'Assomption,MNA,François Legault,François,Legault,,Coalition avenir Québec,,http://www.assnat.qc.ca/Media/Process.aspx?asset=ANQ.Vigie.Bll.Image_187&process=Original&token=ZyMoxNwUn8ikQ+TRKYwPCjWrKwg+vIv9rjij7p3xLGTZDmLVSmJLoqe/vG7/YWzz,http://www.assnat.qc.ca/fr/deputes/legault-francois-4131/index.html,,https://www.facebook.com/FrancoisLegaultPageOfficielle/,,https://twitter.com/francoislegault,,,legislature,,1 418 643-5321,,constituency,,1 450 589-0226,
La Peltrie,MNA,Éric Caire,Éric,Caire,,Coalition avenir Québec,Eric.Caire.LAPE@assnat.qc.ca,http://www.assnat.qc.ca/Media/Process.aspx?asset=ANQ.Vigie.Bll.Image_455&process=Original&token=ZyMoxNwUn8ikQ+TRKYwPCjWrKwg+vIv9rjij7p3xLGTZDmLVSmJLoqe/vG7/YWzz,http://www.assnat.qc.ca/fr/deputes/caire-eric-485/index.html,,https://www.facebook.com/caire.coalition/,,https://twitter.com/ericcaire,,,legislature,,1 418 781-1737,,constituency,,1 418 877-5260,
La Pinière,MNA,Gaétan Barrette,Gaétan,Barrette,,Parti libéral du Québec,Gaetan.Barrette.LAPI@assnat.qc.ca,http://www.assnat.qc.ca/Media/Process.aspx?asset=ANQ.Vigie.Bll.Image_7679&process=Original&token=ZyMoxNwUn8ikQ+TRKYwPCjWrKwg+vIv9rjij7p3xLGTZDmLVSmJLoqe/vG7/YWzz,http://www.assnat.qc.ca/fr/deputes/barrette-gaetan-15397/index.html,,https://www.facebook.com/Gaetanbarretteplq/,,https://twitter.com/drgbarrette,,,legislature,,1 581 628-1813,,constituency,,1 450 678-0611,
La Prairie,MNA,Christian Dubé,Christian,Dubé,,Coalition avenir Québec,Christian.Dube.LAPR@assnat.qc.ca,http://www.assnat.qc.ca/Media/Process.aspx?asset=ANQ.Vigie.Bll.Image_4567&process=Original&token=ZyMoxNwUn8ikQ+TRKYwPCjWrKwg+vIv9rjij7p3xLGTZDmLVSmJLoqe/vG7/YWzz,http://www.assnat.qc.ca/fr/deputes/dube-christian-12223/index.html,,https://www.facebook.com/ChristianDubeCAQ/,,https://twitter.com/cdube940,,,legislature,,1 418 266-7171,,constituency,,1 450 619-7313,
LaFontaine,MNA,Marc Tanguay,Marc,Tanguay,,Parti libéral du Québec,marc.tanguay-lafo@assnat.qc.ca,http://www.assnat.qc.ca/Media/Process.aspx?asset=ANQ.Vigie.Bll.Image_4833&process=Original&token=ZyMoxNwUn8ikQ+TRKYwPCjWrKwg+vIv9rjij7p3xLGTZDmLVSmJLoqe/vG7/YWzz,http://www.assnat.qc.ca/fr/deputes/tanguay-marc-11789/index.html,,https://www.facebook.com/m.tanguay.plq/,,https://twitter.com/marc_tanguay,,,legislature,,1 418 528-7413,,constituency,,1 514 648-1007,
Labelle,MNA,Chantale Jeannotte,Chantale,Jeannotte,,Coalition avenir Québec,Chantale.Jeannotte.LABE@assnat.qc.ca,http://www.assnat.qc.ca/Media/Process.aspx?asset=ANQ.Vigie.Bll.Image_31031&process=Original&token=ZyMoxNwUn8ikQ+TRKYwPCjWrKwg+vIv9rjij7p3xLGTZDmLVSmJLoqe/vG7/YWzz,http://www.assnat.qc.ca/fr/deputes/jeannotte-chantale-17959/index.html,,https://www.facebook.com/ChantaleJeannotteCAQ/,,https://twitter.com/coalitionavenir,,,legislature,,1 418 528-1349,,constituency,,1 819 429-5038,
Lac-Saint-Jean,MNA,Éric Girard,Éric,Girard,,Coalition avenir Québec,Eric.Girard.LSJ@assnat.qc.ca,http://www.assnat.qc.ca/Media/Process.aspx?asset=ANQ.Vigie.Bll.Image_31043&process=Original&token=ZyMoxNwUn8ikQ+TRKYwPCjWrKwg+vIv9rjij7p3xLGTZDmLVSmJLoqe/vG7/YWzz,http://www.assnat.qc.ca/fr/deputes/girard-eric-17957/index.html,,https://www.facebook.com/pg/EricGirardCAQ,,https://twitter.com/EricGirardMFQ,,,legislature,,1 418 263-0697,,constituency,,1 418 668-6149,
Laporte,MNA,Nicole Ménard,Nicole,Ménard,,Parti libéral du Québec,Nicole.Menard.LAPO@assnat.qc.ca,http://www.assnat.qc.ca/Media/Process.aspx?asset=ANQ.Vigie.Bll.Image_379&process=Original&token=ZyMoxNwUn8ikQ+TRKYwPCjWrKwg+vIv9rjij7p3xLGTZDmLVSmJLoqe/vG7/YWzz,http://www.assnat.qc.ca/fr/deputes/menard-nicole-113/index.html,,https://www.facebook.com/Nicole.Menard.deputee,,https://twitter.com/Nicole_Menard,,,constituency,,1 450 672-1885,
Laurier-Dorion,MNA,Andrés Fontecilla,Andrés,Fontecilla,,Québec solidaire,Andres.Fontecilla.LADO@assnat.qc.ca,http://www.assnat.qc.ca/Media/Process.aspx?asset=ANQ.Vigie.Bll.Image_31101&process=Original&token=ZyMoxNwUn8ikQ+TRKYwPCjWrKwg+vIv9rjij7p3xLGTZDmLVSmJLoqe/vG7/YWzz,http://www.assnat.qc.ca/fr/deputes/fontecilla-andres-17953/index.html,,https://www.facebook.com/AFontecillaQS/,,https://twitter.com/AFontecillaQS,,,legislature,,1 418 644-5987,,constituency,,1 514 273-1412,
Laval-des-Rapides,MNA,Saul Polo,Saul,Polo,,Parti libéral du Québec,Saul.Polo.LDR@assnat.qc.ca,http://www.assnat.qc.ca/Media/Process.aspx?asset=ANQ.Vigie.Bll.Image_7829&process=Original&token=ZyMoxNwUn8ikQ+TRKYwPCjWrKwg+vIv9rjij7p3xLGTZDmLVSmJLoqe/vG7/YWzz,http://www.assnat.qc.ca/fr/deputes/polo-saul-15407/index.html,,https://www.facebook.com/SaulJPolo/,,https://twitter.com/SaulJPolo,,,legislature,,1 418 263-0617,,constituency,,1 450 668-6077,
Laviolette-Saint-Maurice,MNA,Marie-Louise Tardif,Marie-Louise,Tardif,,Coalition avenir Québec,Marie-Louise.Tardif.LASM@assnat.qc.ca,http://www.assnat.qc.ca/Media/Process.aspx?asset=ANQ.Vigie.Bll.Image_30985&process=Original&token=ZyMoxNwUn8ikQ+TRKYwPCjWrKwg+vIv9rjij7p3xLGTZDmLVSmJLoqe/vG7/YWzz,http://www.assnat.qc.ca/fr/deputes/tardif-marie-louise-18071/index.html,,https://www.facebook.com/MarieLouiseTardifCAQ/,,https://twitter.com/ML_Tardif_LSTM,,,legislature,,1 581 628-1818,,constituency,,1 819 539-7292,
Les Plaines,MNA,Lucie Lecours,Lucie,Lecours,,Coalition avenir Québec,Lucie.Lecours.LPLA@assnat.qc.ca,http://www.assnat.qc.ca/Media/Process.aspx?asset=ANQ.Vigie.Bll.Image_31013&process=Original&token=ZyMoxNwUn8ikQ+TRKYwPCjWrKwg+vIv9rjij7p3xLGTZDmLVSmJLoqe/vG7/YWzz,http://www.assnat.qc.ca/fr/deputes/lecours-lucie-17949/index.html,,https://www.facebook.com/LucieLecoursCAQ/,,https://twitter.com/coalitionavenir,,,legislature,,1 581 628-1820,,constituency,,1 450 838-7493,
Lotbinière-Frontenac,MNA,Isabelle Lecours,Isabelle,Lecours,,Coalition avenir Québec,Isabelle.Lecours.LOFR@assnat.qc.ca,http://www.assnat.qc.ca/Media/Process.aspx?asset=ANQ.Vigie.Bll.Image_31015&process=Original&token=ZyMoxNwUn8ikQ+TRKYwPCjWrKwg+vIv9rjij7p3xLGTZDmLVSmJLoqe/vG7/YWzz,http://www.assnat.qc.ca/fr/deputes/lecours-isabelle-17945/index.html,,https://www.facebook.com/IsabelleLecoursCAQ/,,https://twitter.com/ILecoursCAQ,,,legislature,,1 581 628-1822,,constituency,,1 418 332-3444,
Louis-Hébert,MNA,Geneviève Guilbault,Geneviève,Guilbault,,Coalition avenir Québec,Genevieve.Guilbault.LOHE@assnat.qc.ca,http://www.assnat.qc.ca/Media/Process.aspx?asset=ANQ.Vigie.Bll.Image_27143&process=Original&token=ZyMoxNwUn8ikQ+TRKYwPCjWrKwg+vIv9rjij7p3xLGTZDmLVSmJLoqe/vG7/YWzz,http://www.assnat.qc.ca/fr/deputes/guilbault-genevieve-16885/index.html,,https://www.facebook.com/GenevieveGuilbaultCAQ/,,https://twitter.com/gguilbaultcaq,,,legislature,,1 418 643-2112,,constituency,,1 418 528-0483,
Lévis,MNA,François Paradis,François,Paradis,,Coalition avenir Québec,Francois.Paradis.LEVI@assnat.qc.ca,http://www.assnat.qc.ca/Media/Process.aspx?asset=ANQ.Vigie.Bll.Image_10251&process=Original&token=ZyMoxNwUn8ikQ+TRKYwPCjWrKwg+vIv9rjij7p3xLGTZDmLVSmJLoqe/vG7/YWzz,http://www.assnat.qc.ca/fr/deputes/paradis-francois-15725/index.html,,https://www.facebook.com/francoisparadis.org/,,https://twitter.com/fparadislevis,,,legislature,,1 418 643-2820,,constituency,,1 418 833-5550,
Marguerite-Bourgeoys,MNA,Hélène David,Hélène,David,,Parti libéral du Québec,Helene.David.MABO@assnat.qc.ca,http://www.assnat.qc.ca/Media/Process.aspx?asset=ANQ.Vigie.Bll.Image_7707&process=Original&token=ZyMoxNwUn8ikQ+TRKYwPCjWrKwg+vIv9rjij7p3xLGTZDmLVSmJLoqe/vG7/YWzz,http://www.assnat.qc.ca/fr/deputes/david-helene-15379/index.html,,https://www.facebook.com/plq.helenedavid/,,https://twitter.com/David_Hlne,,,legislature,,1 581 628-1824,,constituency,,1 514 368-1818,
Marie-Victorin,MNA,Catherine Fournier,Catherine,Fournier,,Indépendant,Catherine.Fournier.MAVI@assnat.qc.ca,http://www.assnat.qc.ca/Media/Process.aspx?asset=ANQ.Vigie.Bll.Image_23683&process=Original&token=ZyMoxNwUn8ikQ+TRKYwPCjWrKwg+vIv9rjij7p3xLGTZDmLVSmJLoqe/vG7/YWzz,http://www.assnat.qc.ca/fr/deputes/fournier-catherine-16775/index.html,,https://www.facebook.com/CathFournierQc/,,https://twitter.com/CathFournierQc,,,legislature,,1 581 628-1028,
Marquette,MNA,Enrico Ciccone,Enrico,Ciccone,,Parti libéral du Québec,Enrico.Ciccone.MARQ@assnat.qc.ca,http://www.assnat.qc.ca/Media/Process.aspx?asset=ANQ.Vigie.Bll.Image_31089&process=Original&token=ZyMoxNwUn8ikQ+TRKYwPCjWrKwg+vIv9rjij7p3xLGTZDmLVSmJLoqe/vG7/YWzz,http://www.assnat.qc.ca/fr/deputes/ciccone-enrico-17943/index.html,,https://www.facebook.com/enrico.ciccone.plq/,,https://twitter.com/EnricoCiccone,,,legislature,,1 418 628-1852,,constituency,,1 514 634-9720,
Maskinongé,MNA,Simon Allaire,Simon,Allaire,,Coalition avenir Québec,Simon.Allaire.MASK@assnat.qc.ca,http://www.assnat.qc.ca/Media/Process.aspx?asset=ANQ.Vigie.Bll.Image_31083&process=Original&token=ZyMoxNwUn8ikQ+TRKYwPCjWrKwg+vIv9rjij7p3xLGTZDmLVSmJLoqe/vG7/YWzz,http://www.assnat.qc.ca/fr/deputes/allaire-simon-17941/index.html,,https://www.facebook.com/SimonAllaireCAQ/,,https://twitter.com/coalitionavenir,,,legislature,,1 418 644-0617,,constituency,,1 819 228-9722,
Masson,MNA,Mathieu Lemay,Mathieu,Lemay,,Coalition avenir Québec,Mathieu.Lemay.MASS@assnat.qc.ca,http://www.assnat.qc.ca/Media/Process.aspx?asset=ANQ.Vigie.Bll.Image_7781&process=Original&token=ZyMoxNwUn8ikQ+TRKYwPCjWrKwg+vIv9rjij7p3xLGTZDmLVSmJLoqe/vG7/YWzz,http://www.assnat.qc.ca/fr/deputes/lemay-mathieu-15403/index.html,,https://www.facebook.com/Lemay.Masson/,,https://twitter.com/mathieu_lemay,,,legislature,,1 418 643-5771,,constituency,,1 450 966-0111,
Matane-Matapédia,MNA,Pascal Bérubé,Pascal,Bérubé,,Parti québécois,Pascal.Berube.MATN@assnat.qc.ca,http://www.assnat.qc.ca/Media/Process.aspx?asset=ANQ.Vigie.Bll.Image_447&process=Original&token=ZyMoxNwUn8ikQ+TRKYwPCjWrKwg+vIv9rjij7p3xLGTZDmLVSmJLoqe/vG7/YWzz,http://www.assnat.qc.ca/fr/deputes/berube-pascal-991/index.html,,https://www.facebook.com/PascalBerubeDepute,,https://twitter.com/PascalBerube,,,legislature,,1 418 644-9318,,constituency,,1 418 562-0371,
Maurice-Richard,MNA,Marie Montpetit,Marie,Montpetit,,Parti libéral du Québec,Marie.Montpetit.MAUR@assnat.qc.ca,http://www.assnat.qc.ca/Media/Process.aspx?asset=ANQ.Vigie.Bll.Image_7765&process=Original&token=ZyMoxNwUn8ikQ+TRKYwPCjWrKwg+vIv9rjij7p3xLGTZDmLVSmJLoqe/vG7/YWzz,http://www.assnat.qc.ca/fr/deputes/montpetit-marie-15369/index.html,,https://www.facebook.com/MontpetitMarie/,,https://twitter.com/Marie_Montpetit,,,legislature,,1 581 628-1828,,constituency,,1 514 387-6314,
Mercier,MNA,Ruba Ghazal,Ruba,Ghazal,,Québec solidaire,Ruba.Ghazal.MERC@assnat.qc.ca,http://www.assnat.qc.ca/Media/Process.aspx?asset=ANQ.Vigie.Bll.Image_31103&process=Original&token=ZyMoxNwUn8ikQ+TRKYwPCjWrKwg+vIv9rjij7p3xLGTZDmLVSmJLoqe/vG7/YWzz,http://www.assnat.qc.ca/fr/deputes/ghazal-ruba-17933/index.html,,https://www.facebook.com/RubaGhazalQS/,,https://twitter.com/RubaGhazalQS,,,legislature,,1 418 644-1430,,constituency,,1 514 525-8877,
Mille-Îles,MNA,Francine Charbonneau,Francine,Charbonneau,,Parti libéral du Québec,Francine.Charbonneau.MIIL@assnat.qc.ca,http://www.assnat.qc.ca/Media/Process.aspx?asset=ANQ.Vigie.Bll.Image_527&process=Original&token=ZyMoxNwUn8ikQ+TRKYwPCjWrKwg+vIv9rjij7p3xLGTZDmLVSmJLoqe/vG7/YWzz,http://www.assnat.qc.ca/fr/deputes/charbonneau-francine-635/index.html,,https://www.facebook.com/FCharbonneauMilleIles/,,https://twitter.com/mille_iles,,,legislature,,1 581 628-1830,,constituency,,1 450 661-3595,
Mirabel,MNA,Sylvie D'Amours,Sylvie,D'Amours,,Coalition avenir Québec,Sylvie.DAmours.MIRA@assnat.qc.ca,http://www.assnat.qc.ca/Media/Process.aspx?asset=ANQ.Vigie.Bll.Image_7853&process=Original&token=ZyMoxNwUn8ikQ+TRKYwPCjWrKwg+vIv9rjij7p3xLGTZDmLVSmJLoqe/vG7/YWzz,http://www.assnat.qc.ca/fr/deputes/d-amours-sylvie-15399/index.html,,https://www.facebook.com/sdamoursmira/,,https://twitter.com/SylvieDAmours,,,constituency,,1 450 623-8376,
Mont-Royal-Outremont,MNA,Pierre Arcand,Pierre,Arcand,,Parti libéral du Québec,Pierre.Arcand.MROU@assnat.qc.ca,http://www.assnat.qc.ca/Media/Process.aspx?asset=ANQ.Vigie.Bll.Image_9&process=Original&token=ZyMoxNwUn8ikQ+TRKYwPCjWrKwg+vIv9rjij7p3xLGTZDmLVSmJLoqe/vG7/YWzz,http://www.assnat.qc.ca/fr/deputes/arcand-pierre-421/index.html,,https://www.facebook.com/arcand.pierre/,,https://twitter.com/PierreArcand,,,legislature,,1 418 263-0702,,constituency,,1 514 341-1151,
Montarville,MNA,Nathalie Roy,Nathalie,Roy,,Coalition avenir Québec,Nathalie.Roy.MOTA@assnat.qc.ca,http://www.assnat.qc.ca/Media/Process.aspx?asset=ANQ.Vigie.Bll.Image_4815&process=Original&token=ZyMoxNwUn8ikQ+TRKYwPCjWrKwg+vIv9rjij7p3xLGTZDmLVSmJLoqe/vG7/YWzz,http://www.assnat.qc.ca/fr/deputes/roy-nathalie-12187/index.html,,https://www.facebook.com/nathalie.roy.1023,,https://twitter.com/NathalieRoyCAQ,,,legislature,,1 418 380-2310,,constituency,,1 450 641-2748,
Montmorency,MNA,Jean-François Simard,Jean-François,Simard,,Coalition avenir Québec,Jean-Francois.Simard.MONT@assnat.qc.ca,http://www.assnat.qc.ca/Media/Process.aspx?asset=ANQ.Vigie.Bll.Image_901&process=Original&token=ZyMoxNwUn8ikQ+TRKYwPCjWrKwg+vIv9rjij7p3xLGTZDmLVSmJLoqe/vG7/YWzz,http://www.assnat.qc.ca/fr/deputes/simard-jean-francois-5369/index.html,,https://www.facebook.com/jeanfrancoissimardcaq/,,https://twitter.com/coalitionavenir,,,legislature,,1 418 644-9600,,constituency,,1 418 660-6870,
Mégantic,MNA,François Jacques,François,Jacques,,Coalition avenir Québec,Francois.Jacques.MEGA@assnat.qc.ca,http://www.assnat.qc.ca/Media/Process.aspx?asset=ANQ.Vigie.Bll.Image_31033&process=Original&token=ZyMoxNwUn8ikQ+TRKYwPCjWrKwg+vIv9rjij7p3xLGTZDmLVSmJLoqe/vG7/YWzz,http://www.assnat.qc.ca/fr/deputes/jacques-francois-17937/index.html,,https://www.facebook.com/FrancoisJacquesCAQ/,,https://twitter.com/coalitionavenir,,,legislature,,1 418 644-0711,,constituency,,1 819 583-4500,
Nelligan,MNA,Monsef Derraji,Monsef,Derraji,,Parti libéral du Québec,Monsef.Derraji.NELL@assnat.qc.ca,http://www.assnat.qc.ca/Media/Process.aspx?asset=ANQ.Vigie.Bll.Image_31091&process=Original&token=ZyMoxNwUn8ikQ+TRKYwPCjWrKwg+vIv9rjij7p3xLGTZDmLVSmJLoqe/vG7/YWzz,http://www.assnat.qc.ca/fr/deputes/derraji-monsef-17923/index.html,,https://www.facebook.com/derrajimonsef/,,https://twitter.com/monsefderraji,,,legislature,,1 581 628-1834,,constituency,,1 514 695-2440,
Nicolet-Bécancour,MNA,Donald Martel,Donald,Martel,,Coalition avenir Québec,Donald.Martel.NICO@assnat.qc.ca,http://www.assnat.qc.ca/Media/Process.aspx?asset=ANQ.Vigie.Bll.Image_4769&process=Original&token=ZyMoxNwUn8ikQ+TRKYwPCjWrKwg+vIv9rjij7p3xLGTZDmLVSmJLoqe/vG7/YWzz,http://www.assnat.qc.ca/fr/deputes/martel-donald-12165/index.html,,https://www.facebook.com/MartelD.coalition/,,https://twitter.com/domartell,,,legislature,,1 581 628-1849,,constituency,,1 819 233-3521,
Notre-Dame-de-Grâce,MNA,Kathleen Weil,Kathleen,Weil,,Parti libéral du Québec,Kathleen.Weil.NDDG@assnat.qc.ca,http://www.assnat.qc.ca/Media/Process.aspx?asset=ANQ.Vigie.Bll.Image_1145&process=Original&token=ZyMoxNwUn8ikQ+TRKYwPCjWrKwg+vIv9rjij7p3xLGTZDmLVSmJLoqe/vG7/YWzz,http://www.assnat.qc.ca/fr/deputes/weil-kathleen-33/index.html,,https://www.facebook.com/KathleenWeilNDG/,,https://twitter.com/Kathleen_Weil,,,legislature,,1 581 628-1836,,constituency,,1 514 489-7581,
Orford,MNA,Gilles Bélanger,Gilles,Bélanger,,Coalition avenir Québec,Gilles.Belanger.ORFO@assnat.qc.ca,http://www.assnat.qc.ca/Media/Process.aspx?asset=ANQ.Vigie.Bll.Image_31077&process=Original&token=ZyMoxNwUn8ikQ+TRKYwPCjWrKwg+vIv9rjij7p3xLGTZDmLVSmJLoqe/vG7/YWzz,http://www.assnat.qc.ca/fr/deputes/belanger-gilles-17925/index.html,,https://www.facebook.com/GillesBelangerCAQ/,,https://twitter.com/coalitionavenir,,,legislature,,1 418 644-3944,,constituency,,1 819 847-3911,
Papineau,MNA,Mathieu Lacombe,Mathieu,Lacombe,,Coalition avenir Québec,Mathieu.Lacombe.PAPI@assnat.qc.ca,http://www.assnat.qc.ca/Media/Process.aspx?asset=ANQ.Vigie.Bll.Image_31025&process=Original&token=ZyMoxNwUn8ikQ+TRKYwPCjWrKwg+vIv9rjij7p3xLGTZDmLVSmJLoqe/vG7/YWzz,http://www.assnat.qc.ca/fr/deputes/lacombe-mathieu-17927/index.html,,https://www.facebook.com/MathieuLacombeCAQ/,,https://twitter.com/lacombemathieu,,,legislature,,1 418 643-2181,,constituency,,1 819 986-9300,
Pointe-aux-Trembles,MNA,Chantal Rouleau,Chantal,Rouleau,,Coalition avenir Québec,Chantal.Rouleau.PAT@assnat.qc.ca,http://www.assnat.qc.ca/Media/Process.aspx?asset=ANQ.Vigie.Bll.Image_30993&process=Original&token=ZyMoxNwUn8ikQ+TRKYwPCjWrKwg+vIv9rjij7p3xLGTZDmLVSmJLoqe/vG7/YWzz,http://www.assnat.qc.ca/fr/deputes/rouleau-chantal-17931/index.html,,https://www.facebook.com/Chantal.Rouleau.CAQ/,,https://twitter.com/rouleauchantal,,,legislature,,1 418 643-6980,,constituency,,1 514 640-9085,
Pontiac,MNA,André Fortin,André,Fortin,,Parti libéral du Québec,Andre.Fortin.PONT@assnat.qc.ca,http://www.assnat.qc.ca/Media/Process.aspx?asset=ANQ.Vigie.Bll.Image_7615&process=Original&token=ZyMoxNwUn8ikQ+TRKYwPCjWrKwg+vIv9rjij7p3xLGTZDmLVSmJLoqe/vG7/YWzz,http://www.assnat.qc.ca/fr/deputes/fortin-andre-15383/index.html,,https://www.facebook.com/AvecAndreFortin/,,https://twitter.com/AvecAndreFortin,,,legislature,,1 418 643-1275,,constituency,,1 819 648-7070,
Portneuf,MNA,Vincent Caron,Vincent,Caron,,Coalition avenir Québec,Vincent.Caron.PORT@assnat.qc.ca,http://www.assnat.qc.ca/Media/Process.aspx?asset=ANQ.Vigie.Bll.Image_31065&process=Original&token=ZyMoxNwUn8ikQ+TRKYwPCjWrKwg+vIv9rjij7p3xLGTZDmLVSmJLoqe/vG7/YWzz,http://www.assnat.qc.ca/fr/deputes/caron-vincent-17849/index.html,,https://www.facebook.com/Vincent-Caron-1768402003211558/,,https://twitter.com/vincentcaroncaq,,,legislature,,1 418 644-1473,,constituency,,1 418 337-4378,
Prévost,MNA,Marguerite Blais,Marguerite,Blais,,Coalition avenir Québec,marguerite.blais.prev@assnat.qc.ca,http://www.assnat.qc.ca/Media/Process.aspx?asset=ANQ.Vigie.Bll.Image_211&process=Original&token=ZyMoxNwUn8ikQ+TRKYwPCjWrKwg+vIv9rjij7p3xLGTZDmLVSmJLoqe/vG7/YWzz,http://www.assnat.qc.ca/fr/deputes/blais-marguerite-1263/index.html,,https://www.facebook.com/MargueriteBlaisCAQ/,,https://twitter.com/Marguerite_CAQ,,,legislature,,1 418 266-7191,,constituency,,1 450 224-4359,
René-Lévesque,MNA,Martin Ouellet,Martin,Ouellet,,Parti québécois,Martin.Ouellet.RELE@assnat.qc.ca,http://www.assnat.qc.ca/Media/Process.aspx?asset=ANQ.Vigie.Bll.Image_16715&process=Original&token=ZyMoxNwUn8ikQ+TRKYwPCjWrKwg+vIv9rjij7p3xLGTZDmLVSmJLoqe/vG7/YWzz,http://www.assnat.qc.ca/fr/deputes/ouellet-martin-16495/index.html,,https://www.facebook.com/martinouelletpq/,,https://twitter.com/MartinOuellet_,,,legislature,,1 581 628-1002,,constituency,,1 418 295-4001,
Repentigny,MNA,Lise Lavallée,Lise,Lavallée,,Coalition avenir Québec,Lise.Lavallee.REPE@assnat.qc.ca,http://www.assnat.qc.ca/Media/Process.aspx?asset=ANQ.Vigie.Bll.Image_7737&process=Original&token=ZyMoxNwUn8ikQ+TRKYwPCjWrKwg+vIv9rjij7p3xLGTZDmLVSmJLoqe/vG7/YWzz,http://www.assnat.qc.ca/fr/deputes/lavallee-lise-15389/index.html,,https://www.facebook.com/lise.lavallee.repentigny/,,https://twitter.com/LavalleLise,,,legislature,,1 418 263-0612,,constituency,,1 450 581-6102,
Richelieu,MNA,Jean-Bernard Émond,Jean-Bernard,Émond,,Coalition avenir Québec,Jean-Bernard.Emond.RICL@assnat.qc.ca,http://www.assnat.qc.ca/Media/Process.aspx?asset=ANQ.Vigie.Bll.Image_31053&process=Original&token=ZyMoxNwUn8ikQ+TRKYwPCjWrKwg+vIv9rjij7p3xLGTZDmLVSmJLoqe/vG7/YWzz,http://www.assnat.qc.ca/fr/deputes/emond-jean-bernard-17857/index.html,,https://www.facebook.com/jean.bernard.emond.caq/,,https://twitter.com/JBEmond,,,legislature,,1 418 263-0660,,constituency,,1 450 742-3781,
Richmond,MNA,André Bachand,André,Bachand,,Coalition avenir Québec,Andre.Bachand.RICM@assnat.qc.ca,http://www.assnat.qc.ca/Media/Process.aspx?asset=ANQ.Vigie.Bll.Image_31079&process=Original&token=ZyMoxNwUn8ikQ+TRKYwPCjWrKwg+vIv9rjij7p3xLGTZDmLVSmJLoqe/vG7/YWzz,http://www.assnat.qc.ca/fr/deputes/bachand-andre-17859/index.html,,https://www.facebook.com/abachandCAQ/,,https://twitter.com/coalitionavenir,,,constituency,,1 819 879-1104,
